Membership No  Date Joined  Active  
    20287      2020-12-18   no    
    70205      2015-11-8    no    
    24352      2019-12-19   no    
    94098      2019-5-24    no    
    86770      2018-5-1     no    
    96713      2019-2-17    no    
    80925      2020-11-7    no    
    43465      2019-1-9     no    
    44427      2020-5-14    no    
    56426      2020-7-4     no    
    87380      2020-12-22   no    
    17322      2016-12-6    no    
    25209      2020-12-6    no    
    15696      2017-8-25    no    
